combo,year,age,tarsus,nares,mass,plot,elevation,s_r_area,s_l_area,u_r_area,u_l_area,s_r_bright,s_l_bright,u_r_bright,u_l_bright,lores_r_bright,lores_l_bright,r_cont,l_cont,complete_repro,n_fledge,cid,db_att,db_succ,f_provisiong_rate,f_prey_biomass,f_nest_attentiveness,m_provisiong_rate, m_prey_biomass,m_nest_attentiveness,polygynous,food_availability
YRBA,2023,ASY,18.7,7.6,10.53,Main,middle,18.113,19.0845,5.3815,5.4875,125.424,130.798,128.577,133.9925,39.625,100.4645,85.799,30.3335,y,3,153,0,0,,,,,,,0,6.2861466
YRYA,2023,ASY,17.8,7,10.15,S_Upper,high,18.3295,18.409,4.7915,4.574,135.5245,161.40875,104.0015,135.01175,71.9365,101.68925,63.588,59.7195,y,4,151,0,0,0.88,1.5,25.13,2.63,6.50,34.88,1,5.42571085
YYBA,2023,SY,18.4,6.7,10.36,S_Upper,high,9.8815,7.1035,3.709,3.9715,118.38125,139.24625,107.63875,136.65375,83.70175,92.29475,34.6795,46.9515,y,4,158,0,0,1.88,2.63,28.38,2.38,3.00,23.88,0,6.29780203
BKGA,2021,SY,18.47,,10.43,S_Upper,high,12.8755,,3.83,,124.84575,,131.02375,,79.42175,,62.03475,,y,0,149,0,0,,,,,,,0,8.00273942
BOGA,2021,SY,20.2,7.85,10.74,S_Upper,high,10.208,,2.1315,,117.40225,,137.35225,,78.66825,,76.42925,,y,4,149,0,0,1.25,2.50,221.88,0.75,1.13,8.50,0,7.14158448
BP-A,2021,SY,19.6,,9.91,Mid,low,17.46,,5.832,,132.109,,140.7275,,86.322,,85.6245,,y,0,145,0,0,,,,,,,0,7.11482492
GAGG,2021,ASY,18.02,,10,N_Upper,high,19.426,,4.6395,,147.7525,,152.677,,100.8325,,98.5145,,y,8,151,1,1,,,,,,,0,7.90100773
GARO,2021,ASY,21.24,,10.93,Outer,middle,33.992,,6.3275,,154.8875,,148.3015,,75.877,,115.274,,y,4,150,0,0,,,,,,,0,6.4420675
GAWK,2021,SY,20.77,,10.43,Main,middle,14.145,,2.1745,,106.5125,,115.6465,,47.177,,22.3555,,y,0,146,0,0,,,,,,,0,
KGBA,2021,SY,20.05,,10.75,Outer,middle,25.919,,7.701,,136.1725,,143.6415,,73.229,,77.8805,,n,,,,,1.13,1.63,170,0.38,3.25,25.75,0,6.32372513
KWGA,2021,SY,18.1,,10.25,Lower,low,22.8185,,5.18,,134.6705,,150.1115,,106.271,,90.576,,y,3,156,1,0,,,,,,,0,6.8930525
OGRA,2021,ASY,17.95,7.42,10.88,Main,middle,20.408,,6.9255,,139.554,,144.7145,,63.8405,,88.5415,,y,4,145,0,0,3.13,28.75,27.5,4.00,41.50,55.13,0,7.17015868
OPWA,2021,SY,21.59,,9.76,Mid,low,18.3305,,3.0635,,132.771,,131.656,,67.511,,31.673,,n,,,,,,,,,,,0,7.31537395
PBKA,2021,SY,20.55,,10.43,S_Upper,high,7.947,,2.3435,,131.6305,,143.464,,74.9905,,88.2165,,y,6,149,1,1,1.63,3.25,458.75,1.63,7.38,56.50,0,7.03712098
RAWB,2021,SY,19.1,,11.03,S_Upper,high,14.7495,,2.65,,116.86725,,130.72775,,84.86575,,61.12125,,y,7,160,1,1,,,,,,,0,7.09340859
WAOK,2021,ASY,19.8,,11.85,Lower,low,35.6615,,5.2,,127.485,,125.9775,,77.1655,,66.3925,,y,4,157,1,0,,,,,,,0,6.7873035
WAPO,2021,SY,19.46,,10.18,Main,middle,23.8075,,4.5315,,134.0965,,148.2665,,89.527,,97.637,,y,4,149,0,0,,,,,,,0,7.45069482
WGYA,2021,ASY,,,10.51,Lower,low,11.837,,2.8865,,106.24225,,105.09525,,57.83125,,34.67125,,y,7,146,1,1,2.63,2.5,110.88,1.38,7.38,19.25,0,6.5429033
YARK,2021,ASY,17.53,,10.8,Outer,middle,21.539,,5.7775,,113.70225,,110.62625,,75.25025,,46.73275,,n,,,,,,,,,,,0,6.52912183
BAKB,2022,ASY,17.5,6.9,10.31,Mid,low,21.5705,,4.226,,,,,,,,,,y,4,148,1,0,,,,,,,0,4.58090323
BAPK,2022,SY,17.73,6.71,10.38,Outer,middle,12.487,,2.8905,,,,,,,,,,n,,,,,0.5,0.67,0.67,2.67,7.50,41.33,0,
BAPW,2022,ASY,16.92,6.05,11.39,Lower,low,15.966,12.9105,3.9145,3.6745,,,,,,,,,y,0,146,0,0,1.67,2.67,11.17,2.67,8.50,40.17,0,4.50206318
BAWR,2022,ASY,18.99,6.77,10.05,Main,middle,16.503,16.193,3.2165,3.844,,,,,,,,,y,0,153,0,0,,,,,,,0,4.43938224
BAYB,2022,SY,19.4,7.53,10.28,N_Upper,high,11.8945,15.3525,5.035,4.8295,,,,,,,,,n,,,,,,,,,,,0,4.56017284
BBPA,2022,ASY,17.46,6.9,10.07,Main,middle,19.717,,4.381,,,,,,,,,,n,,,,,,,,,,,0,4.95174731
BPBA,2022,SY,17.94,6.47,10.34,N_Upper,high,12.206,15.9915,3.413,2.906,,,,,,,,,n,,,,,,,,,,,0,4.79873594
GAYO,2022,ASY,17.6,6.1,10.5,Mid,low,24.937,,7.7765,,,,,,,,,,y,0,148,0,0,,,,,,,0,4.47207981
GOPA,2022,SY,18.23,6.8,10.13,Mid,low,13.517,19.4875,4.5705,4.2065,,,,,,,,,y,3,,0,0,4.25,4.88,76,1.25,1.63,19.63,0,4.17439836
GRYA,2022,ASY,18.24,6.79,9.21,N_Upper,high,17.999,19.2915,4.5525,5.2535,,,,,,,,,n,,,0,0,4.67,3.5,456,0.00,0.00,0.00,0,5.23733361
GWBA,2022,ASY,18.44,7.24,11.06,S_Upper,high,20.185,,4.8705,,,,,,,,,,y,3,149,0,0,3,6.83,104,2.83,8.00,24.83,0,5.16223658
GYRA,2022,SY,19.16,6.74,10.62,Lower,low,19.6295,16.1315,3.857,4.4665,,,,,,,,,y,4,155,0,0,2.88,15.5,217.88,2.75,8.88,56.00,0,4.36265489
KARY,2022,SY,18.3,6.6,10.5,S_Upper,high,15.345,19.0165,3.326,3.9905,,,,,,,,,y,3,,0,0,4.67,18.17,179,4.67,24.50,67.50,0,4.5882511
KAYG,2022,SY,18.62,6.92,10.48,Main,middle,14.7605,13.9935,5.0935,5.6205,,,,,,,,,y,0,157,0,0,,,,,,,0,4.4465083
KAYR,2022,SY,18.81,6.89,9.94,Main,middle,16.6905,17.1845,4.31,3.7425,,,,,,,,,n,,,,,,,,,,,,5.38223305
KOWA,2022,SY,17.8,6.2,10.9,N_Upper,high,26.6715,27.56,8.706,7.93,,,,,,,,,y,0,154,0,0,,,,,,,0,4.65909543
KPGA,2022,ASY,17.8,7.04,9.77,N_Upper,high,28.0985,14.258,4.4555,3.346,,,,,,,,,n,,,,,,,,,,,0,5.05674672
KPRA,2022,SY,17.7,6.8,10.92,Mid,low,16.727,,4.154,,,,,,,,,,y,4,148,1,0,0.78,0.22,72.22,1.11,2.67,12.67,0,3.24548751
KROA,2022,SY,17.95,6.31,10.91,Outer,middle,24.7755,24.368,4.7435,5.247,,,,,,,,,y,0,154,0,0,,,,,,,0,4.24409119
OARG,2022,ASY,17.55,6.88,9.98,Lower,low,20.802,,5.202,,,,,,,,,,n,,,,,,,,,,,0,
OAWP,2022,SY,17.93,6.43,10.65,Outer,middle,10.851,,2.805,,,,,,,,,,y,0,149,0,0,,,,,,,0,4.41549706
OOOA,2022,SY,19,6.76,10.46,Main,middle,15.628,17.349,3.493,3.489,,,,,,,,,n,,,,,,,,,,,0,4.35449438
OPRA,2022,ASY,,,9.1,S_Upper,high,21.711,20.572,3.9455,4.942,,,,,,,,,y,4,,0,0,4,12.75,92.63,0.00,0.00,0.00,0,4.95868518
OYYA,2022,SY,18,6.2,9.96,Mid,low,20.729,15.444,4.7315,4.1735,,,,,,,,,y,3,149,1,0,4.83,19.33,39,2.33,18.00,33.17,0,3.57463104
PGYA,2022,ASY,17.99,6.78,10.94,S_Upper,high,12.442,,3.653,,,,,,,,,,y,2,149,0,0,2.75,3,853,3.75,5.75,60.75,0,4.02228753
POBA,2022,SY,17.44,6.4,10.87,N_Upper,high,15.307,18.7115,2.2025,3.0815,,,,,,,,,n,,,,,,,,,,,0,3.46566528
POKA,2022,SY,17.1,7.1,10.8,S_Upper,high,21.1445,21.1355,4.4785,4.052,,,,,,,,,y,4,153,0,0,3,6,149.88,1.50,4.63,15.38,0,5.15144135
PPRA,2022,SY,20.38,7.17,10.69,S_Upper,high,20.7805,22.2505,3.978,3.674,,,,,,,,,y,0,,0,0,,,,,,,,4.32589997
RAKG,2022,ASY,18.83,6.94,10.01,S_Upper,high,13.306,18.374,3.1315,4.44,,,,,,,,,n,,,,,5.5,26,72,0.00,0.00,0.00,,4.78719974
RAOY,2022,ASY,18.35,6.98,10.67,Lower,low,12.473,11.7065,3.2415,3.8245,,,,,,,,,y,0,146,0,0,,,,,,,0,4.46881403
RGRA,2022,SY,17.45,6.42,10.59,S_Upper,high,12.864,13.1605,3.4915,3.3975,,,,,,,,,y,0,159,0,0,,,,,,,0,4.38488096
RKOA,2022,ASY,19.19,,10.46,Mid,low,16.7375,17.2205,3.789,5.2485,,,,,,,,,y,3,146,0,0,2.17,5.33,188,2.17,6.50,134.67,1,5.05055448
RWWA,2022,ASY,17.6,7.14,9.96,Mid,low,17.9675,,5.693,,,,,,,,,,y,0,151,0,0,,,,,,,0,4.13640812
RYPA,2022,SY,18.44,7.35,10.66,Mid,low,22.792,15.5105,3.55,3.321,,,,,,,,,y,0,150,0,0,,,,,,,0,4.46395566
WABO,2022,ASY,18.41,7.62,10.15,Lower,low,14.31,,2.9405,,,,,,,,,,n,,,,,,,,,,,0,
WGPA,2022,ASY,19.1,6.43,10.41,Main,middle,19.787,22.6345,3.5285,4.771,,,,,,,,,n,,,,,,,,,,,0,5.38223305
WRKA,2022,SY,18.08,6.81,10.12,Lower,low,14.1215,15.1105,3.2715,4.343,,,,,,,,,y,1,152,0,0,9,27,858.5,0.00,0.00,0.00,0,4.6492089
YPRA,2022,ASY,17.2,,10.61,Mid,low,16.4155,,4.98,,,,,,,,,,y,4,147,1,0,,,,,,,0,4.7059402
YYYA,2022,SY,17.56,6.63,11.21,Outer,middle,17.2155,21.468,5.868,5.2,,,,,,,,,y,3,153,0,0,1.67,9.17,28.33,0.17,0.33,1.67,0,5.05919975
